Call Type,Time,Longitude,Latitude
THEFT JUST OCCURRED,2016-12-04 12:12:46 UTC,-79.39843577,43.65485012
ASSAULT IN PROGRESS,2016-12-04 12:56:33 UTC,-79.2538201,43.70129638
BREAK & ENTER,2016-12-04 13:24:48 UTC,-79.17694863,43.80247585
THEFT JUST OCCURRED,2016-12-04 12:32:40 UTC,-79.40910588,43.7041971
ATTEMPT BREAK & ENTER,2016-12-04 09:59:49 UTC,-79.38506535,43.6668599
ARREST,2016-12-04 10:18:51 UTC,-79.439027,43.63989664
ASSAULT JUST OCCURRED,2016-12-04 10:36:07 UTC,-79.30115526,43.67812624
BREAK & ENTER,2016-12-04 09:43:05 UTC,-79.3483137,43.6614323
THEFT IN PROGRESS,2016-12-04 10:56:52 UTC,-79.38002051,43.66205454
ASSAULT JUST OCCURRED,2016-12-04 11:57:30 UTC,-79.33113323,43.71004132
ARREST,2016-12-04 12:46:15 UTC,-79.30081035,43.72299776
